	(17-18)-1.0	(17-18)-2.0	(17-18)-3.0	(17-18)-4.0	(17-18)-5.0	(17-18)-6.0	(17-18)-7.0	(17-18)-8.0	(17-18)-9.0	(17-18)-10.0	(17-18)-11.0	(17-18)-12.0	(17-18)-13.0	(17-18)-14.0	(17-18)-15.0	(17-18)-16.0	(17-18)-17.0	(17-18)-18.0	(17-18)-19.0	(17-18)-20.0	(17-18)-21.0	(17-18)-22.0	(17-18)-23.0	(17-18)-24.0	(17-18)-25.0	(17-18)-26.0	(17-18)-27.0	(17-18)-28.0	(17-18)-29.0	(17-18)-30.0	(17-18)-31.0	(17-18)-32.0	(17-18)-33.0	(17-18)-34.0	(17-18)-35.0	(17-18)-36.0	(17-18)-37.0	(17-18)-38.0	(17-18)-39.0	(17-18)-40.0	(17-18)-41.0	(17-18)-42.0	(17-18)-43.0	(17-18)-44.0	(17-18)-45.0	(17-18)-46.0	(17-18)-47.0	(17-18)-48.0	(17-18)-49.0	(17-18)-50.0	(17-18)-51.0	(17-18)-52.0	(17-18)-53.0	(17-18)-54.0	(17-18)-55.0	(17-18)-56.0	(17-18)-57.0	(17-18)-58.0	(17-18)-59.0	(17-18)-60.0	(17-18)-61.0	(17-18)-62.0	(17-18)-63.0	(17-18)-64.0	(17-18)-65.0	(17-18)-66.0	(17-18)-67.0
1.0	1.5369009928380487e-05	0.9989856453447316	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05	1.5369009928380487e-05
2.0	1.8689318120228468e-06	0.9874127442460308	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	0.012465775186192386	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06	1.8689318120228468e-06
3.0	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335
4.0	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	0.9466485694032395	0.05318895699872594	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06	2.499593816004914e-06
5.0	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	0.9998350272205144	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06	2.499587568051286e-06
6.0	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	0.99934043531269	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06	9.9934043531269e-06
7.0	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335
8.0	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	0.9993404353126898	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06	9.993404353126898e-06
9.0	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335
10.0	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335	0.014925373134328335
