	(12-13)-1.0	(12-13)-2.0	(12-13)-3.0	(12-13)-4.0	(12-13)-5.0	(12-13)-6.0	(12-13)-7.0	(12-13)-8.0	(12-13)-9.0	(12-13)-10.0
1.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
2.0	5.249383197474295e-05	0.1694688751626855	5.249383197474295e-05	5.249383197474295e-05	5.249383197474295e-05	5.249383197474295e-05	0.5421580751305348	5.249383197474295e-05	0.2880055928829562	5.249383197474295e-05
3.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8.0	1.2351146627519416e-05	0.16951651321773656	1.2351146627519416e-05	1.2351146627519416e-05	1.2351146627519416e-05	1.2351146627519416e-05	0.5423104768987338	1.2351146627519416e-05	0.2880865518571372	1.2351146627519416e-05
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
