user,year,month
0,2009,4
1,2008,11
2,2008,11
3,2008,12
4,2009,4
5,2008,11
6,2008,11
7,2008,11
8,2008,11
9,2008,11
10,2008,9
11,2008,10
12,2008,11
13,2008,10
14,2008,11
15,2008,11
16,2008,11
17,2009,6
18,2008,11
19,2008,11
20,2011,9
21,2007,5
22,2009,7
23,2009,1
24,2009,2
25,2009,5
26,2009,2
27,2009,1
28,2009,2
29,2009,3
30,2009,4
31,2009,1
32,2008,12
33,2009,1
34,2009,3
35,2009,3
36,2009,7
37,2009,3
38,2009,2
39,2009,6
40,2009,3
41,2009,6
42,2009,3
43,2009,6
44,2009,2
45,2010,6
46,2010,5
47,2007,8
48,2009,9
49,2009,9
50,2009,8
51,2008,2
52,2008,6
53,2008,5
54,2009,6
55,2011,9
56,2008,5
57,2007,8
58,2011,8
59,2011,8
60,2007,8
61,2007,8
62,2008,9
63,2010,12
64,2008,8
65,2011,9
66,2009,10
67,2011,5
68,2009,7
69,2008,5
70,2008,9
71,2011,12
72,2007,7
73,2008,5
74,2012,1
75,2011,9
76,2007,4
77,2009,9
78,2008,8
79,2010,6
80,2007,7
81,2008,5
82,2009,3
83,2009,1
84,2008,9
85,2008,11
86,2007,5
87,2007,8
88,2008,10
89,2008,5
90,2007,7
91,2007,11
92,2008,8
93,2008,8
94,2007,8
95,2011,5
96,2008,7
97,2007,4
98,2007,5
99,2008,1
100,2011,8
101,2008,3
102,2011,10
103,2008,9
104,2008,10
105,2007,10
106,2007,10
107,2007,10
108,2007,10
109,2007,11
110,2008,1
111,2009,7
112,2008,6
113,2010,5
114,2010,5
115,2008,5
116,2011,8
117,2007,6
118,2007,5
119,2008,9
120,2009,9
121,2009,10
122,2009,5
123,2009,9
124,2008,10
125,2008,8
126,2008,6
127,2008,10
128,2009,10
129,2008,5
130,2009,9
131,2009,4
132,2010,2
133,2011,1
134,2007,7
135,2009,1
136,2008,5
137,2011,1
138,2007,6
139,2007,9
140,2009,7
141,2011,10
142,2010,6
143,2009,9
144,2009,7
145,2008,5
146,2007,8
147,2011,3
148,2011,5
149,2009,9
150,2007,8
151,2009,10
152,2008,8
153,2010,8
154,2007,5
155,2009,7
156,2009,7
157,2007,8
158,2009,2
159,2012,4
160,2010,12
161,2007,4
162,2007,8
