	User	TopMonth	DataMonths
0	000	200904	200810,200811,200812,200903,200904,200905,200906,200907,
1	001	200811	200810,200811,200812,
2	002	200811	200810,200811,200812,200901,200902,200903,
3	003	200812	200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,
4	004	200904	200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,
5	005	200811	200810,200811,200812,200901,200902,200903,
6	006	200811	200810,200811,200812,
7	007	200811	200810,200811,200812,
8	008	200811	200810,200811,200812,
9	009	200811	200810,200811,200812,
10	010	200809	200708,200709,200710,200711,200712,200803,200804,200805,200806,200808,200809,200810,200811,200812,200901,200902,200903,
11	011	200810	200809,200810,200811,200812,
12	012	200811	200809,200810,200811,200812,
13	013	200810	200809,200810,200811,200812,200901,200902,200903,
14	014	200811	200810,200811,200812,200901,200902,200903,200904,
15	015	200811	200810,200811,200812,200902,200903,
16	016	200811	200810,200811,200812,
17	017	200906	200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,
18	018	200811	200811,200812,
19	019	200811	200811,200812,
20	020	201109	201108,201109,201110,201111,201112,
21	021	200705	200704,200705,
22	022	200907	200901,200902,200903,200904,200905,200906,200907,
23	023	200901	200901,200902,200903,
24	024	200902	200812,200901,200902,200903,200905,
25	025	200905	200812,200901,200902,200903,200904,200905,200906,200907,
26	026	200902	200901,200902,200903,200904,
27	027	200901	200901,
28	028	200902	200901,200902,200903,200904,
29	029	200903	200901,200902,200903,
30	030	200904	200901,200902,200903,200904,200905,200906,200907,
31	031	200901	200901,200902,
32	032	200812	200812,200901,
33	033	200901	200812,200901,
34	034	200903	200902,200903,200904,200907,
35	035	200903	200902,200903,200904,
36	036	200907	200902,200903,200904,200907,
37	037	200903	200901,200902,200903,200904,200907,
38	038	200902	200902,200903,200904,200907,
39	039	200906	200902,200903,200904,200905,200906,200907,
40	040	200903	200902,200903,200904,200905,
41	041	200906	200902,200903,200904,200905,200906,200907,
42	042	200903	200810,200811,200812,200901,200902,200903,200904,200905,
43	043	200906	200902,200903,200904,200906,
44	044	200902	200902,200903,200904,200907,
45	045	201006	201006,201008,201010,
46	046	201005	200910,201005,201006,
47	047	200708	200708,
48	048	200909	200909,
49	049	200909	200909,
50	050	200908	200906,200907,200908,
51	051	200802	200711,200712,200801,200802,200803,200804,
52	052	200806	200801,200802,200803,200805,200806,200807,200808,200809,200810,
53	053	200805	200804,200805,
54	054	200906	200906,
55	055	201109	200707,200708,201108,201109,
56	056	200805	200710,200711,200805,
57	057	200708	200707,200708,
58	058	201108	200705,200706,201103,201108,
59	059	201108	201103,201108,
60	060	200708	200708,
61	061	200708	200707,200708,
62	062	200809	200712,200801,200806,200807,200808,200809,200810,200811,200812,
63	063	201012	201011,201012,201101,201102,
64	064	200808	200808,
65	065	201109	200908,200909,201003,201004,201005,201107,201108,201109,201110,
66	066	200910	200905,200908,200909,200910,
67	067	201105	201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,
68	068	200907	200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,
69	069	200805	200804,200805,200806,
70	070	200809	200809,200810,
71	071	201112	201112,201201,201202,201203,201204,201205,
72	072	200707	200707,
73	073	200805	200805,200806,200807,200808,200809,
74	074	201201	201109,201201,201202,201203,201204,201205,
75	075	201109	201108,201109,
76	076	200704	200704,
77	077	200909	200909,
78	078	200808	200804,200805,200806,200807,200808,
79	079	201006	201005,201006,
80	080	200707	200706,200707,
81	081	200805	200805,200806,200807,
82	082	200903	200705,200706,200711,200805,200807,200808,200903,200904,200905,
83	083	200901	200901,200902,200903,200906,200909,
84	084	200809	200807,200808,200809,200810,200811,200812,200901,200904,200905,200906,200907,200908,200909,
85	085	200811	200802,200803,200805,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,
86	086	200705	200704,200705,
87	087	200708	200708,
88	088	200810	200809,200810,
89	089	200805	200804,200805,200806,200807,200808,
90	090	200707	200707,
91	091	200711	200708,200711,200712,200801,
92	092	200808	200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,
93	093	200808	200807,200808,
94	094	200708	200707,200708,
95	095	201105	201012,201101,201102,201103,201104,201105,
96	096	200807	200807,200808,200809,200810,200811,200812,
97	097	200704	200704,200706,
98	098	200705	200705,200706,
99	099	200801	200711,200712,200801,200802,200803,
100	100	201108	201107,201108,
101	101	200803	200711,200712,200801,200802,200803,200804,200805,200806,
102	102	201110	201110,201111,201112,
103	103	200809	200808,200809,
104	104	200810	200711,200712,200801,200802,200803,200804,200805,200806,200807,200808,200809,200810,
105	105	200710	200710,
106	106	200710	200710,
107	107	200710	200710,
108	108	200710	200710,
109	109	200711	200711,200712,
110	110	200801	200711,200712,200801,200802,200803,
111	111	200907	200704,200706,200708,200709,200907,
112	112	200806	200801,200802,200803,200804,200805,200806,200807,
113	113	201005	201005,201006,
114	114	201005	200710,201005,201006,
115	115	200805	200705,200709,200711,200804,200805,200806,200807,200808,200809,
116	116	201108	201108,
117	117	200706	200706,200707,
118	118	200705	200705,
119	119	200809	200807,200808,200809,200810,
120	120	200909	200909,
121	121	200910	200910,
122	122	200905	200905,200906,200907,200908,200909,200910,
123	123	200909	200909,
124	124	200810	200809,200810,
125	125	200808	200805,200806,200807,200808,200809,200810,
126	126	200806	200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,
127	127	200810	200809,200810,
128	128	200910	200704,200705,200706,200707,200711,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,
129	129	200805	200805,200806,
130	130	200909	200907,200908,200909,200910,
131	131	200904	200904,200906,200907,200908,
132	132	201002	201002,201004,201005,
133	133	201101	201011,201101,201104,
134	134	200707	200704,200705,200706,200707,200711,200712,200801,200802,
135	135	200901	200812,200901,
136	136	200805	200805,200806,
137	137	201101	201101,
138	138	200706	200705,200706,
139	139	200709	200709,200710,
140	140	200907	200704,200705,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,
141	141	201110	201108,201109,201110,
142	142	201006	200704,200706,200803,200804,200805,200807,200812,201004,201005,201006,201007,201009,201101,
143	143	200909	200909,
144	144	200907	200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200905,200906,200907,200908,200909,
145	145	200805	200804,200805,200807,
146	146	200708	200707,200708,
147	147	201103	201102,201103,201104,201105,
148	148	201105	201105,201107,
149	149	200909	200909,
150	150	200708	200707,200708,
151	151	200910	200910,
152	152	200808	200808,
153	153	201008	200707,200804,200805,200806,200807,200808,200809,200810,200811,200812,200901,200902,200903,200904,200905,200906,200907,200908,200909,200910,200911,200912,201001,201002,201003,201004,201005,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201106,201107,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,
154	154	200705	200704,200705,
155	155	200907	200905,200906,200907,200908,
156	156	200907	200907,
157	157	200708	200707,200708,
158	158	200902	200901,200902,200903,
159	159	201204	201203,201204,201205,
160	160	201012	201012,
161	161	200704	200704,
162	162	200708	200708,
163	163	200805	200704,200705,200706,200707,200710,200711,200712,200804,200805,200806,200807,200901,200902,200904,200905,200907,200908,200912,201002,201004,201006,201007,201008,201009,201010,201011,201012,201101,201102,201103,201104,201105,201108,201109,201110,201111,201112,201201,201202,201203,201204,201205,201206,201207,
164	164	200712	200711,200712,
165	165	201111	201110,201111,
