	User	TrainMonth	TestMonth
0	000	200904	200905
1	001	200811	200812
2	002	200811	200812
3	003	200812	200901
4	004	200904	200905
5	005	200811	200812
6	006	200811	200812
7	007	200811	200812
8	008	200811	200812
9	009	200811	200812
10	010	200809	200810
11	011	200810	200811
12	012	200811	200812
13	013	200810	200811
14	014	200811	200812
15	015	200811	200812
16	016	200811	200812
17	017	200906	200907
18	018	200811	200812
19	019	200811	200812
20	020	201109	201110
21	021	200705	200704
22	022	200907	200906
23	023	200901	200902
24	024	200902	200903
25	025	200905	200906
26	026	200902	200903
27	027	200901	na
28	028	200902	200903
29	029	200903	200902
30	030	200904	200905
31	031	200901	200902
32	032	200812	200901
33	033	200901	200812
34	034	200903	200904
35	035	200903	200904
36	036	200907	200904
37	037	200903	200904
38	038	200902	200903
39	039	200906	200907
40	040	200903	200904
41	041	200906	200907
42	042	200903	200904
43	043	200906	200904
44	044	200902	200903
45	045	201006	201008
46	046	201005	201006
47	047	200708	na
48	048	200909	na
49	049	200909	na
50	050	200908	200907
51	051	200802	200803
52	052	200806	200807
53	053	200805	200804
54	054	200906	na
55	055	201109	201108
56	056	200805	200711
57	057	200708	200707
58	058	201108	201103
59	059	201108	201103
60	060	200708	na
61	061	200708	200707
62	062	200809	200810
63	063	201012	201101
64	064	200808	na
65	065	201109	201110
66	066	200910	200909
67	067	201105	201106
68	068	200907	200908
69	069	200805	200806
70	070	200809	200810
71	071	201112	201201
72	072	200707	na
73	073	200805	200806
74	074	201201	201202
75	075	201109	201108
76	076	200704	na
77	077	200909	na
78	078	200808	200807
79	079	201006	201005
80	080	200707	200706
81	081	200805	200806
82	082	200903	200904
83	083	200901	200902
84	084	200809	200810
85	085	200811	200812
86	086	200705	200704
87	087	200708	na
88	088	200810	200809
89	089	200805	200806
90	090	200707	na
91	091	200711	200712
92	092	200808	200807
93	093	200808	200807
94	094	200708	200707
95	095	201105	201104
96	096	200807	200808
97	097	200704	200706
98	098	200705	200706
99	099	200801	200802
100	100	201108	201107
101	101	200803	200804
102	102	201110	201111
103	103	200809	200808
104	104	200810	200809
105	105	200710	na
106	106	200710	na
107	107	200710	na
108	108	200710	na
109	109	200711	200712
110	110	200801	200802
111	111	200907	200709
112	112	200806	200807
113	113	201005	201006
114	114	201005	201006
115	115	200805	200806
116	116	201108	na
117	117	200706	200707
118	118	200705	na
119	119	200809	200810
120	120	200909	na
121	121	200910	na
122	122	200905	200906
123	123	200909	na
124	124	200810	200809
125	125	200808	200809
126	126	200806	200807
127	127	200810	200809
128	128	200910	200911
129	129	200805	200806
130	130	200909	200910
131	131	200904	200906
132	132	201002	201004
133	133	201101	201104
134	134	200707	200711
135	135	200901	200812
136	136	200805	200806
137	137	201101	na
138	138	200706	200705
139	139	200709	200710
140	140	200907	200908
141	141	201110	201109
142	142	201006	201007
143	143	200909	na
144	144	200907	200908
145	145	200805	200807
146	146	200708	200707
147	147	201103	201104
148	148	201105	201107
149	149	200909	na
150	150	200708	200707
151	151	200910	na
152	152	200808	na
153	153	201008	201009
154	154	200705	200704
155	155	200907	200908
156	156	200907	na
157	157	200708	200707
158	158	200902	200903
159	159	201204	201205
160	160	201012	na
161	161	200704	na
162	162	200708	na
163	163	200805	200806
164	164	200712	200711
165	165	201111	201110
166	166	200806	200805
167	167	200805	200806
168	168	201107	201108
169	169	201005	201006
170	170	200805	200804
171	171	200707	na
172	172	200806	200807
173	173	200712	200711
174	174	200803	200804
175	175	200710	na
176	176	200712	200711
177	177	200909	na
178	178	201003	na
179	179	200810	200811
180	180	200905	200904
181	181	200712	200801
