	id	groupid	start	end	meanlat	meanlon	StartEndStayptFlag
0	6.0	0	2009-04-01 05:26:00	2009-04-01 05:26:00	40.000393	116.327073	Y
1	7.0	0	2009-04-01 08:56:00	2009-04-01 08:56:00	39.9998605	116.3271075	Y
2	12.0	0	2009-04-01 09:17:00	2009-04-01 09:41:00	40.006608503663	116.31727509313187	N
3	17.0	0	2009-04-01 10:31:00	2009-04-01 10:31:00	39.99984309090909	116.32734281818183	Y
4	18.0	0	2009-04-01 20:25:00	2009-04-01 20:25:00	40.00762614285714	116.31968085714287	Y
5	19.0	0	2009-04-02 06:10:00	2009-04-02 06:10:00	39.999979999999994	116.32742950000001	Y
6	20.0	0	2009-04-02 09:41:00	2009-04-02 09:41:00	40.000018	116.32727342857144	Y
7	29.0	0	2009-04-02 10:24:00	2009-04-02 10:24:00	39.999300000000005	116.324952	Y
8	30.0	0	2009-04-02 11:32:00	2009-04-02 11:32:00	40.00408809090909	116.32138090909093	Y
9	34.0	0	2009-04-02 12:08:00	2009-04-02 12:08:00	40.00832215384616	116.31933992307692	Y
10	35.0	0	2009-04-02 15:14:00	2009-04-02 15:14:00	40.0076695	116.319702	Y
11	42.0	0	2009-04-02 15:39:00	2009-04-02 15:39:00	40.0007788	116.32704120000001	Y
12	43.0	0	2009-04-03 01:16:00	2009-04-03 01:16:00	40.00152	116.31185900000001	Y
13	46.0	0	2009-04-03 01:31:00	2009-04-03 01:31:00	40.007704499999996	116.31956283333334	Y
14	47.0	0	2009-04-03 04:10:00	2009-04-03 04:10:00	40.00623609090909	116.32575345454546	Y
15	48.0	0	2009-04-03 05:14:00	2009-04-03 05:14:00	40.0061062	116.3259032	Y
16	50.0	0	2009-04-03 05:29:00	2009-04-03 05:51:00	40.00958846261702	116.31545985983368	N
17	57.0	0	2009-04-03 06:03:00	2009-04-03 06:03:00	40.0001012	116.32747620000002	Y
18	58.0	0	2009-04-03 07:45:00	2009-04-03 07:45:00	39.99985959999999	116.32723919999998	Y
19	160.0	0	2009-04-03 10:25:00	2009-04-03 10:59:00	40.00949835631869	116.31560843112028	N
20	164.0	0	2009-04-03 11:10:00	2009-04-03 11:37:00	40.009509550303065	116.3158061553397	N
21	167.0	0	2009-04-03 12:01:00	2009-04-03 12:35:00	40.00718745805325	116.3189327136197	N
22	171.0	0	2009-04-03 13:05:00	2009-04-03 13:59:00	40.00976736919117	116.31527358100189	N
23	172.0	0	2009-04-03 14:00:00	2009-04-03 14:55:00	40.00971509777251	116.31521663123453	N
24	173.0	0	2009-04-03 15:18:00	2009-04-03 15:59:00	40.00964980014526	116.31508425229251	N
25	174.0	0	2009-04-03 16:00:00	2009-04-03 16:43:00	40.00967726256244	116.31501961280387	N
26	175.0	0	2009-04-03 17:02:00	2009-04-03 17:59:00	40.009654844852086	116.31526448522811	N
27	176.0	0	2009-04-03 18:00:00	2009-04-03 18:59:00	40.009581015785244	116.31523877568782	N
28	177.0	0	2009-04-03 19:00:00	2009-04-03 19:59:00	40.00966977080966	116.31511306278894	N
29	178.0	0	2009-04-03 20:00:00	2009-04-03 20:59:00	40.00968196643313	116.31508461538635	N
30	179.0	0	2009-04-03 21:00:00	2009-04-03 21:52:00	40.00965193912183	116.31508968577431	N
31	180.0	0	2009-04-03 22:13:00	2009-04-03 22:59:00	40.00966621252057	116.31517451978021	N
32	181.0	0	2009-04-03 23:00:00	2009-04-03 23:59:00	40.00972136319089	116.31508301785917	N
33	182.0	0	2009-04-04 00:00:00	2009-04-04 00:48:00	40.009802952497644	116.31519844358677	N
34	183.0	0	2009-04-04 01:06:00	2009-04-04 01:59:00	40.00980620881843	116.31510716993368	N
35	184.0	0	2009-04-04 02:00:00	2009-04-04 02:42:00	40.00976311043754	116.31513305027936	N
36	185.0	0	2009-04-04 03:00:00	2009-04-04 03:35:00	40.009769828529805	116.31523291664026	N
37	186.0	0	2009-04-04 06:47:00	2009-04-04 06:47:00	40.008318599999996	116.31271079999999	Y
38	227.0	0	2009-04-04 10:31:00	2009-04-04 10:31:00	39.97475833333334	116.32194733333334	Y
39	228.0	0	2009-04-04 11:22:00	2009-04-04 11:59:00	39.91230271812223	116.40100153920378	N
40	282.0	0	2009-04-04 14:00:00	2009-04-04 14:35:00	40.009488516178266	116.31467362221856	N
41	283.0	0	2009-04-05 05:19:00	2009-04-05 05:19:00	40.00915025	116.31530425	Y
42	292.0	0	2009-04-05 06:23:00	2009-04-05 06:43:00	39.993075322649574	116.32693692094016	N
43	302.0	0	2009-04-05 07:36:00	2009-04-05 07:56:00	39.942059629786876	116.37445918606392	N
44	306.0	0	2009-04-05 08:19:00	2009-04-05 08:59:00	39.937597921693495	116.3892209426184	N
45	307.0	0	2009-04-05 09:00:00	2009-04-05 09:27:00	39.936643941025636	116.39003585	N
46	316.0	0	2009-04-05 10:13:00	2009-04-05 10:13:00	39.94442725	116.37584766666667	Y
47	317.0	0	2009-04-05 11:23:00	2009-04-05 11:23:00	39.94436600000001	116.37527133333333	Y
48	366.0	0	2009-04-05 14:00:00	2009-04-05 14:00:00	40.009660000000004	116.314753	Y
49	367.0	0	2009-04-06 02:37:00	2009-04-06 02:37:00	40.008018416666665	116.31221941666666	Y
50	467.0	0	2009-04-06 06:00:00	2009-04-06 06:59:00	40.00756140422077	116.31972340467033	N
51	470.0	0	2009-04-06 07:06:00	2009-04-06 07:06:00	40.000066	116.32737125	Y
52	471.0	0	2009-04-06 08:03:00	2009-04-06 08:03:00	40.003625	116.332742	Y
53	475.0	0	2009-04-06 08:11:00	2009-04-06 08:11:00	39.991463874999994	116.327999375	Y
54	476.0	0	2009-04-06 09:48:00	2009-04-06 09:48:00	39.98980084615384	116.32495099999998	Y
55	477.0	0	2009-04-06 10:01:00	2009-04-06 10:40:00	39.99206792195767	116.32639593711845	N
56	480.0	0	2009-04-06 10:45:00	2009-04-06 10:45:00	40.0003444	116.32731679999999	Y
57	481.0	0	2009-04-09 18:28:00	2009-04-09 18:28:00	39.999926666666674	116.32744108333333	Y
58	485.0	0	2009-04-09 18:38:00	2009-04-09 18:38:00	40.011086	116.32169741666667	Y
59	486.0	0	2009-04-10 02:19:00	2009-04-10 02:19:00	40.011544400000005	116.32196139999999	Y
60	492.0	0	2009-04-10 02:27:00	2009-04-10 02:27:00	39.999922	116.32738066666667	Y
61	493.0	0	2009-04-10 07:33:00	2009-04-10 07:33:00	40.0000044	116.32744840000001	Y
62	552.0	0	2009-04-10 08:56:00	2009-04-10 08:56:00	39.76282862500001	116.29728256249999	Y
63	553.0	0	2009-04-10 12:52:00	2009-04-10 12:52:00	39.763503	116.297405	Y
64	603.0	0	2009-04-10 14:04:00	2009-04-10 14:04:00	39.99992936363636	116.32733818181818	Y
65	604.0	0	2009-04-10 17:03:00	2009-04-10 17:03:00	39.999975	116.327386	Y
66	609.0	0	2009-04-10 17:13:00	2009-04-10 17:13:00	40.01108599999999	116.32185657142857	Y
67	610.0	0	2009-04-11 05:23:00	2009-04-11 05:23:00	40.011532	116.321628	Y
68	618.0	0	2009-04-11 06:25:00	2009-04-11 06:25:00	39.999945272727274	116.32725945454546	Y
69	619.0	0	2009-04-11 07:19:00	2009-04-11 07:19:00	39.9998517	116.3272011	Y
70	675.0	0	2009-04-11 08:44:00	2009-04-11 08:44:00	39.762871999999994	116.29733300000001	Y
71	676.0	0	2009-04-11 12:50:00	2009-04-11 12:50:00	39.76355	116.2974	Y
72	735.0	0	2009-04-11 14:14:00	2009-04-11 14:14:00	39.999989	116.32740366666667	Y
73	736.0	0	2009-04-11 17:14:00	2009-04-11 17:14:00	39.99992266666667	116.32735950000001	Y
74	741.0	0	2009-04-11 17:24:00	2009-04-11 17:24:00	40.0111392	116.32176799999999	Y
75	742.0	0	2009-04-12 00:49:00	2009-04-12 00:49:00	40.01113541666667	116.32204483333334	Y
76	746.0	0	2009-04-12 00:59:00	2009-04-12 00:59:00	40.000017	116.32731033333334	Y
77	747.0	0	2009-04-12 07:33:00	2009-04-12 07:33:00	39.99980825000001	116.32721174999999	Y
78	800.0	0	2009-04-12 08:48:00	2009-04-12 08:48:00	39.76272518181818	116.2973348181818	Y
79	801.0	0	2009-04-12 12:39:00	2009-04-12 12:39:00	39.76349333333334	116.29727066666668	Y
80	858.0	0	2009-04-12 14:11:00	2009-04-12 14:11:00	39.999959249999996	116.32736683333333	Y
81	859.0	0	2009-04-12 17:14:00	2009-04-12 17:14:00	39.99981553846153	116.32706253846156	Y
82	863.0	0	2009-04-12 17:24:00	2009-04-12 17:24:00	40.01094707692308	116.32190830769233	Y
83	864.0	0	2009-04-13 05:08:00	2009-04-13 05:08:00	40.011041399999996	116.321688	Y
84	870.0	0	2009-04-13 05:20:00	2009-04-13 05:47:00	39.99571271428571	116.32119304761906	N
85	873.0	0	2009-04-13 05:57:00	2009-04-13 05:57:00	39.99987175	116.327087	Y
86	874.0	0	2009-04-13 07:33:00	2009-04-13 07:33:00	40.000278	116.32765800000001	Y
87	925.0	0	2009-04-13 08:43:00	2009-04-13 08:43:00	39.762716142857144	116.29729721428569	Y
88	926.0	0	2009-04-13 12:46:00	2009-04-13 12:46:00	39.763428999999995	116.29749199999999	Y
89	982.0	0	2009-04-13 14:08:00	2009-04-13 14:47:00	39.99932381039377	116.32715087184066	N
90	987.0	0	2009-04-13 14:54:00	2009-04-13 14:54:00	40.01112	116.3218385	Y
91	988.0	0	2009-04-13 21:39:00	2009-04-13 21:39:00	40.01065783333333	116.3220705	Y
92	1044.0	0	2009-04-13 22:53:00	2009-04-13 22:53:00	39.762751599999994	116.2973307	Y
93	1045.0	0	2009-04-14 04:43:00	2009-04-14 04:43:00	39.762982625	116.2955425	Y
94	1095.0	0	2009-04-14 06:06:00	2009-04-14 06:06:00	39.99977625	116.32720991666667	Y
95	1096.0	0	2009-04-14 09:53:00	2009-04-14 09:53:00	39.99922354545454	116.32695672727273	Y
96	1100.0	0	2009-04-14 10:00:00	2009-04-14 10:27:00	40.00919345833333	116.32331069166668	N
97	1105.0	0	2009-04-14 10:37:00	2009-04-14 10:59:00	39.99775469520418	116.31903182616333	N
98	1114.0	0	2009-04-14 11:32:00	2009-04-14 11:32:00	39.97482899999999	116.33366889999999	Y
99	1115.0	0	2009-04-14 12:21:00	2009-04-14 12:21:00	39.90672366666667	116.4727631111111	Y
100	1155.0	0	2009-04-14 13:32:00	2009-04-14 13:52:00	39.951793272527475	116.80053989754057	N
101	1156.0	0	2009-04-15 00:04:00	2009-04-15 00:04:00	39.950761	116.8013125	Y
102	1162.0	0	2009-04-15 00:30:00	2009-04-15 00:30:00	39.94715	116.78324350000001	Y
103	1163.0	0	2009-04-15 07:40:00	2009-04-15 07:40:00	39.94275566666667	116.79592550000001	Y
104	1199.0	0	2009-04-15 08:25:00	2009-04-15 08:25:00	39.907365500000004	116.4708525	Y
105	1200.0	0	2009-04-15 09:13:00	2009-04-15 09:13:00	39.975329	116.333939	Y
106	1206.0	0	2009-04-15 09:28:00	2009-04-15 09:59:00	39.99931395894384	116.32709847573257	N
107	1210.0	0	2009-04-15 10:06:00	2009-04-15 10:33:00	40.01000117492063	116.3224628358364	N
108	1214.0	0	2009-04-15 10:42:00	2009-04-15 10:42:00	40.0001057	116.3274144	Y
109	1215.0	0	2009-04-16 00:27:00	2009-04-16 00:27:00	39.99946475	116.32702391666665	Y
110	1216.0	0	2009-04-16 00:30:00	2009-04-16 00:30:00	39.995570307692304	116.32540807692308	Y
111	1217.0	0	2009-04-16 04:12:00	2009-04-16 04:12:00	39.99610666666667	116.32539691666669	Y
112	1221.0	0	2009-04-16 04:22:00	2009-04-16 04:51:00	40.00978023149398	116.32208861025035	N
113	1227.0	0	2009-04-16 05:26:00	2009-04-16 05:26:00	39.99481816666667	116.32561941666667	Y
114	1228.0	0	2009-04-16 07:31:00	2009-04-16 07:31:00	39.99627	116.324781	Y
115	1232.0	0	2009-04-16 07:50:00	2009-04-16 07:50:00	40.000009899999995	116.3273452	Y
116	1233.0	0	2009-04-16 08:38:00	2009-04-16 08:38:00	39.99973133333333	116.32724100000001	Y
117	1239.0	0	2009-04-16 08:51:00	2009-04-16 08:51:00	40.005653	116.325734625	Y
118	1240.0	0	2009-04-16 10:08:00	2009-04-16 10:08:00	40.00566166666666	116.32567433333332	Y
119	1242.0	0	2009-04-16 10:14:00	2009-04-16 10:14:00	40.00769186666666	116.31964386666667	Y
120	1243.0	0	2009-04-16 11:12:00	2009-04-16 11:36:00	40.00723620890293	116.32063283029304	N
121	1247.0	0	2009-04-16 11:43:00	2009-04-16 11:43:00	39.999903700000004	116.32735229999999	Y
122	1248.0	0	2009-04-16 15:30:00	2009-04-16 15:30:00	39.99985491666666	116.32685908333333	Y
123	1251.0	0	2009-04-16 15:42:00	2009-04-16 15:42:00	40.0080485	116.31957275	Y
124	1252.0	0	2009-04-17 00:24:00	2009-04-17 00:24:00	40.0075965	116.31984	Y
125	1258.0	0	2009-04-17 00:40:00	2009-04-17 00:40:00	39.99542925	116.32488599999999	Y
126	1259.0	0	2009-04-17 04:20:00	2009-04-17 04:20:00	39.996194	116.324781	Y
127	1271.0	0	2009-04-17 05:14:00	2009-04-17 05:14:00	39.999900777777775	116.32736466666668	Y
128	1272.0	0	2009-04-17 09:24:00	2009-04-17 09:24:00	39.99987518181818	116.32720227272726	Y
129	1274.0	0	2009-04-17 09:28:00	2009-04-17 09:55:00	40.00691200171773	116.32129648728367	N
130	1278.0	0	2009-04-17 10:05:00	2009-04-17 10:05:00	40.00021171428572	116.32722842857143	Y
131	1279.0	0	2009-04-18 17:22:00	2009-04-18 17:22:00	39.9999882	116.3246268	Y
132	1283.0	0	2009-04-18 17:37:00	2009-04-18 17:37:00	40.0098055	116.3152155	Y
133	1284.0	0	2009-04-19 00:52:00	2009-04-19 00:52:00	40.01004028571428	116.31501614285715	Y
134	1297.0	0	2009-04-19 01:16:00	2009-04-19 01:16:00	39.974925	116.333818	Y
135	1298.0	0	2009-04-19 02:02:00	2009-04-19 02:02:00	39.87934861538462	116.45477669230769	Y
136	1355.0	0	2009-04-19 04:03:00	2009-04-19 04:45:00	39.94583562142488	116.79416351572871	N
137	1359.0	0	2009-04-19 04:58:00	2009-04-19 04:58:00	39.9481162	116.78364119999999	Y
138	1360.0	0	2009-04-19 10:13:00	2009-04-19 10:13:00	39.9519888	116.80060720000002	Y
139	1397.0	0	2009-04-19 11:03:00	2009-04-19 11:03:00	39.90735633333333	116.47090266666667	Y
140	1398.0	0	2009-04-19 11:50:00	2009-04-19 11:50:00	39.975796	116.33388000000001	Y
141	1404.0	0	2009-04-19 12:13:00	2009-04-19 12:13:00	40.000431	116.326544	Y
142	1405.0	0	2009-04-19 17:55:00	2009-04-19 17:55:00	39.999912583333334	116.32752700000002	Y
143	1408.0	0	2009-04-19 18:21:00	2009-04-19 18:21:00	40.008060875	116.31987837499999	Y
144	1409.0	0	2009-04-20 01:30:00	2009-04-20 01:30:00	40.007515833333336	116.31983033333334	Y
145	1413.0	0	2009-04-20 01:52:00	2009-04-20 01:52:00	40.000529	116.32702966666666	Y
146	1414.0	0	2009-04-20 04:00:00	2009-04-20 04:00:00	39.999990999999994	116.32727	Y
147	1417.0	0	2009-04-20 04:08:00	2009-04-20 04:30:00	40.01006094217687	116.32280561094103	N
148	1420.0	0	2009-04-20 04:37:00	2009-04-20 04:37:00	40.00003976923077	116.32743323076923	Y
149	1421.0	0	2009-04-20 09:39:00	2009-04-20 09:39:00	39.999868625000005	116.327231875	Y
150	1432.0	0	2009-04-20 10:26:00	2009-04-20 10:26:00	39.99992455555555	116.32735211111111	Y
151	1433.0	0	2009-04-20 15:29:00	2009-04-20 15:29:00	39.99995116666667	116.327315	Y
