Timestamp,Latitude,Longitude,Timestamp,Date,Time,Hour,Weekday,StayPoint,StayptId,StayMeanLat,StayMeanLon,State,StateId,StateMeanLat,StateMeanLon
21:00.0,39.909796,116.3678953,21:00.0,11/1/2008,5:21:00,5,5Saturday,1,1,39.909796,116.3678953,-2,-1,-1,-1
22:30.0,39.909796,116.3678953,22:30.0,11/1/2008,6:22:30,6,5Saturday,1,1,39.909796,116.3678953,-2,-1,-1,-1
22:30.0,39.90996417,116.3679837,22:30.0,11/1/2008,6:22:30,6,5Saturday,1,2,39.90996417,116.3679837,-2,-1,-1,-1
24:00.0,39.90996417,116.3679837,24:00.0,11/1/2008,7:24:00,7,5Saturday,1,2,39.90996417,116.3679837,-2,-1,-1,-1
30:33.7,39.90996417,116.3679837,30:33.7,11/1/2008,7:30:34,7,5Saturday,1,2,39.90996417,116.3679837,-2,-1,-1,-1
37:26.3,39.89899776,116.3927004,37:26.3,11/1/2008,8:37:26,8,5Saturday,1,3,39.89899776,116.3927004,-2,-1,-1,-1
44:00.0,39.89899776,116.3927004,44:00.0,11/1/2008,8:44:00,8,5Saturday,1,3,39.89899776,116.3927004,-2,-1,-1,-1
44:51.8,39.89899776,116.3927004,44:51.8,11/1/2008,8:44:52,8,5Saturday,1,3,39.89899776,116.3927004,-2,-1,-1,-1
25:08.2,39.974033,116.3340564,25:08.2,11/1/2008,9:25:08,9,5Saturday,1,4,39.974033,116.3340564,-2,-1,-1,-1
26:00.0,39.974033,116.3340564,26:00.0,11/1/2008,9:26:00,9,5Saturday,1,4,39.974033,116.3340564,-2,-1,-1,-1
33:51.1,39.974033,116.3340564,33:51.1,11/1/2008,9:33:51,9,5Saturday,1,4,39.974033,116.3340564,-2,-1,-1,-1
52:08.9,39.98048833,116.3291845,52:08.9,11/1/2008,9:52:09,9,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
00:00.0,39.98048833,116.3291845,00:00.0,11/1/2008,10:00:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
01:00.0,39.9804627,116.3291609,01:00.0,11/1/2008,10:01:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
02:00.0,39.98052269,116.3291398,02:00.0,11/1/2008,10:02:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
05:00.0,39.98075357,116.3291559,05:00.0,11/1/2008,10:05:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
06:00.0,39.98074603,116.3291212,06:00.0,11/1/2008,10:06:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
07:00.0,39.98074153,116.3291546,07:00.0,11/1/2008,10:07:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
08:00.0,39.98052557,116.3291814,08:00.0,11/1/2008,10:08:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
14:00.0,39.98027778,116.3292101,14:00.0,11/1/2008,10:14:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
15:00.0,39.98053407,116.3292188,15:00.0,11/1/2008,10:15:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
16:00.0,39.98057743,116.3291808,16:00.0,11/1/2008,10:16:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
17:00.0,39.9804769,116.3291727,17:00.0,11/1/2008,10:17:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
18:00.0,39.9804203,116.3291629,18:00.0,11/1/2008,10:18:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
19:00.0,39.9807886,116.3291698,19:00.0,11/1/2008,10:19:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
20:00.0,39.98083017,116.3292038,20:00.0,11/1/2008,10:20:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
21:00.0,39.98082557,116.3291987,21:00.0,11/1/2008,10:21:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
35:00.0,39.9811669,116.3291466,35:00.0,11/1/2008,10:35:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
36:00.0,39.981286,116.3291835,36:00.0,11/1/2008,10:36:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
37:00.0,39.98127647,116.329182,37:00.0,11/1/2008,10:37:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
38:00.0,39.98126537,116.3291826,38:00.0,11/1/2008,10:38:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
39:00.0,39.9812518,116.3291882,39:00.0,11/1/2008,10:39:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
40:00.0,39.98123627,116.3291924,40:00.0,11/1/2008,10:40:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
41:00.0,39.98118653,116.3291922,41:00.0,11/1/2008,10:41:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
42:00.0,39.98103237,116.3291731,42:00.0,11/1/2008,10:42:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
43:00.0,39.98101983,116.3291663,43:00.0,11/1/2008,10:43:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
44:00.0,39.98101867,116.3291715,44:00.0,11/1/2008,10:44:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
45:00.0,39.98102377,116.3291776,45:00.0,11/1/2008,10:45:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
46:00.0,39.98102707,116.3291825,46:00.0,11/1/2008,10:46:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
47:00.0,39.9810206,116.3291893,47:00.0,11/1/2008,10:47:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
48:00.0,39.98101489,116.3291907,48:00.0,11/1/2008,10:48:00,10,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
54:30.0,39.98101489,116.3291907,54:30.0,11/1/2008,18:54:30,18,5Saturday,1,5,39.9808551,116.329177,-2,-1,-1,-1
54:30.0,39.98158,116.32748,54:30.0,11/1/2008,18:54:30,18,5Saturday,1,6,39.98158,116.32748,-2,-1,-1,-1
01:00.0,39.98158,116.32748,01:00.0,11/2/2008,3:01:00,3,6Sunday,1,6,39.98158,116.32748,-2,-1,-1,-1
02:22.2,39.98158,116.32748,02:22.2,11/2/2008,3:02:22,3,6Sunday,1,6,39.98158,116.32748,-2,-1,-1,-1
34:37.8,39.9398674,116.3024782,34:37.8,11/2/2008,3:34:38,3,6Sunday,1,7,39.9398674,116.3024782,-2,-1,-1,-1
36:00.0,39.9398674,116.3024782,36:00.0,11/2/2008,3:36:00,3,6Sunday,1,7,39.9398674,116.3024782,-2,-1,-1,-1
37:16.8,39.9398674,116.3024782,37:16.8,11/2/2008,4:37:17,4,6Sunday,1,7,39.9398674,116.3024782,-2,-1,-1,-1
00:43.2,39.94938084,116.3036778,00:43.2,11/2/2008,8:00:43,8,6Sunday,1,8,39.94938084,116.3036778,-2,-1,-1,-1
02:00.0,39.94938084,116.3036778,02:00.0,11/2/2008,9:02:00,9,6Sunday,1,8,39.94938084,116.3036778,-2,-1,-1,-1
03:21.6,39.94938084,116.3036778,03:21.6,11/2/2008,9:03:22,9,6Sunday,1,8,39.94938084,116.3036778,-2,-1,-1,-1
28:38.4,39.9817464,116.3274024,28:38.4,11/2/2008,9:28:38,9,6Sunday,1,20,39.98086679,116.3289761,-2,-1,-1,-1
30:00.0,39.9817464,116.3274024,30:00.0,11/2/2008,9:30:00,9,6Sunday,1,20,39.98086679,116.3289761,-2,-1,-1,-1
31:00.0,39.98148453,116.3276771,31:00.0,11/2/2008,9:31:00,9,6Sunday,1,20,39.98086679,116.3289761,-2,-1,-1,-1
32:00.0,39.98103093,116.3280914,32:00.0,11/2/2008,9:32:00,9,6Sunday,1,20,39.98086679,116.3289761,-2,-1,-1,-1
33:00.0,39.9805538,116.3283022,33:00.0,11/2/2008,9:33:00,9,6Sunday,1,20,39.98086679,116.3289761,-2,-1,-1,-1
