	(21-22)-1.0	(21-22)-2.0	(21-22)-3.0	(21-22)-4.0	(21-22)-5.0	(21-22)-6.0	(21-22)-7.0	(21-22)-8.0	(21-22)-9.0	(21-22)-10.0	(21-22)-11.0	(21-22)-12.0	(21-22)-13.0	(21-22)-14.0	(21-22)-15.0	(21-22)-16.0	(21-22)-17.0	(21-22)-18.0	(21-22)-19.0	(21-22)-20.0	(21-22)-21.0	(21-22)-22.0	(21-22)-23.0	(21-22)-24.0	(21-22)-25.0	(21-22)-26.0	(21-22)-27.0	(21-22)-28.0	(21-22)-29.0	(21-22)-30.0	(21-22)-31.0	(21-22)-32.0	(21-22)-33.0	(21-22)-34.0	(21-22)-35.0	(21-22)-36.0	(21-22)-37.0
1.0	0.9999280051836295	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06	1.999856010367259e-06
2.0	0.044256994997765184	0.9326178500254013	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	0.023107260560207996	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07	5.263063713596708e-07
3.0	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004
4.0	0.197860761883265	1.6665694501154133e-06	1.6665694501154133e-06	0.802080908185983	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06	1.6665694501154133e-06
5.0	0.022230739747029493	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	0.9776526071958264	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06	3.3329444898095198e-06
6.0	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	0.9998800143982716	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06	3.3329333813275724e-06
7.0	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004
8.0	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	0.9996401295533589	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06	9.996401295533589e-06
9.0	0.12984689583708386	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	0.8701239383469199	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07	8.333090284866698e-07
10.0	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004	0.027027027027027004
