	(9-10)-1.0	(9-10)-2.0	(9-10)-3.0	(9-10)-4.0	(9-10)-5.0	(9-10)-6.0	(9-10)-7.0	(9-10)-8.0	(9-10)-9.0	(9-10)-10.0
1.0	0.9999700008999728	3.333233336333243e-06	3.333233336333243e-06	3.333233336333243e-06	3.333233336333243e-06	3.333233336333243e-06	3.333233336333243e-06	3.333233336333243e-06	3.333233336333243e-06	3.333233336333243e-06
2.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
3.0	9.999100080992708e-06	9.999100080992708e-06	0.9999100080992707	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06	9.999100080992708e-06
4.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
5.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
6.0	3.3332333363332434e-06	3.3332333363332434e-06	3.3332333363332434e-06	3.3332333363332434e-06	3.3332333363332434e-06	0.9999700008999729	3.3332333363332434e-06	3.3332333363332434e-06	3.3332333363332434e-06	3.3332333363332434e-06
7.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
8.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
9.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
10.0	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1	0.1
