	(20-21)-1.0	(20-21)-2.0	(20-21)-3.0	(20-21)-4.0	(20-21)-5.0	(20-21)-6.0	(20-21)-7.0	(20-21)-8.0	(20-21)-9.0	(20-21)-10.0	(20-21)-11.0	(20-21)-12.0	(20-21)-13.0	(20-21)-14.0	(20-21)-15.0	(20-21)-16.0	(20-21)-17.0	(20-21)-18.0	(20-21)-19.0	(20-21)-20.0
1.0	0.9999366706775233	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06	3.3331222355917446e-06
2.0	9.998200323941681e-06	0.9427413300476469	0.05707870234652117	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06	9.998200323941681e-06
3.0	4.999525045120711e-06	4.999525045120711e-06	0.999905009024142	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06	4.999525045120711e-06
4.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
5.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
6.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
7.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
8.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
9.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
10.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
11.0	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	0.13788124386317263	0.8619387885309959	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06	9.998200323941686e-06
12.0	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	0.9998100360931417	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06	9.998100360931418e-06
13.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
14.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
15.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
16.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
17.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
18.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
19.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
20.0	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05	0.05
